10
15
10
1;5
20
3;12
1;6
9;2
13;8
3;2
7;1
14;1
2;4
6;8
8;4
2;3
6;6
10;0
1;3
2;0
1;14
12;14
9;14
9;1
13;9
6;8
20
5;8
5;3
3;3
8;9
5;9
6;1
5;11
6;11
2;11
9;9
11;6
0;0
12;8
4;8
14;7
4;6
10;0
13;12
6;4
0;5
7;9
20
6;1
1;12
4;12
12;11
14;7
8;10
11;7
1;10
14;8
4;5
13;11
8;9
0;6
7;10
2;12
12;3
7;3
9;7
7;0
0;9
1;9
20
8;7
7;0
11;13
6;2
10;5
14;12
7;5
11;12
5;9
0;6
0;2
1;12
14;13
6;5
14;6
10;11
5;6
5;1
4;13
12;0
3;7
20
2;8
8;2
5;10
6;9
2;3
6;3
12;4
12;11
4;1
12;12
2;6
11;0
8;13
9;0
0;13
6;2
3;10
5;2
2;2
3;8
2;9
20
0;5
1;8
7;1
11;4
8;2
14;1
9;13
5;7
8;13
14;6
11;6
7;0
9;3
9;2
0;6
12;3
3;2
4;12
11;1
5;14
5;7
20
2;6
12;3
7;10
7;1
4;13
5;0
13;8
6;12
3;13
12;12
11;4
0;0
14;4
14;0
3;9
1;4
13;0
12;1
6;4
13;1
0;9
20
6;3
10;6
9;2
6;0
0;14
2;8
0;8
7;6
14;9
6;8
6;2
7;3
12;6
13;11
7;11
4;0
4;11
5;3
10;3
10;0
2;5
20
11;11
6;3
14;3
12;11
12;14
4;8
5;0
11;0
8;2
7;6
10;14
9;6
14;13
9;0
4;13
5;9
4;11
12;1
1;11
7;8
4;6
20
10;13
7;7
8;9
6;5
10;2
5;7
13;14
3;6
0;12
3;0
1;2
14;9
12;10
11;6
2;4
13;7
9;14
1;13
1;9
12;11
**************************************************
10
15
10
0;4
20
2;10
1;2
1;1
10;5
7;9
1;4
10;3
11;12
6;4
6;3
9;10
2;0
9;6
3;9
1;7
1;3
4;12
14;14
0;12
3;10
5;9
20
8;7
11;14
3;8
4;9
9;5
2;12
10;9
1;5
0;4
7;2
12;0
9;6
3;0
2;0
3;5
2;11
11;10
10;10
10;1
7;11
4;9
20
0;11
14;2
0;3
13;1
3;0
9;7
12;2
9;6
8;0
5;9
5;12
2;3
14;8
14;0
8;5
13;14
7;12
7;3
12;0
10;10
0;1
20
5;12
12;9
13;14
8;4
12;7
8;11
4;4
10;8
4;9
9;3
4;10
9;0
0;4
3;14
8;2
8;7
4;7
4;0
14;2
6;6
2;6
20
5;2
0;10
7;0
4;13
8;8
5;5
10;4
11;14
1;13
1;11
7;9
8;5
10;9
13;4
14;14
7;10
12;2
0;11
9;12
13;0
1;5
20
9;3
10;0
8;8
11;0
9;2
6;6
6;2
12;7
7;14
3;11
13;8
3;3
8;5
1;5
0;5
0;9
11;2
5;14
10;6
9;8
5;7
20
6;4
1;4
9;10
12;8
4;5
8;1
0;0
5;0
10;14
12;12
14;4
4;9
0;2
1;2
1;3
6;3
3;11
13;3
6;2
12;14
1;7
20
5;3
8;7
6;10
2;2
3;4
12;1
0;10
6;5
13;3
7;9
12;8
3;5
7;10
12;10
3;7
0;8
9;10
10;3
11;13
0;11
1;6
20
6;9
14;11
11;7
3;4
0;4
1;8
7;9
7;12
6;3
1;4
0;0
2;12
8;11
12;2
14;1
2;1
14;7
3;0
13;14
11;1
1;4
20
10;7
14;8
7;2
9;2
9;0
13;13
11;10
1;4
9;4
11;5
1;13
13;12
4;10
11;4
6;8
12;1
10;5
5;4
12;4
11;8
**************************************************
10
15
10
2;7
20
2;8
11;14
7;9
11;7
14;1
10;8
8;13
2;10
3;14
12;13
8;1
11;13
9;13
4;13
6;8
5;6
6;4
0;12
3;13
11;6
2;4
20
3;3
13;5
7;9
7;10
4;2
5;8
9;5
6;6
0;0
8;14
13;4
4;7
3;14
13;13
11;11
6;0
8;8
10;4
5;14
2;3
7;9
20
5;3
4;12
13;7
6;5
12;14
11;13
14;8
5;0
1;8
6;0
3;11
14;12
10;14
12;3
4;1
12;7
6;8
13;1
12;1
2;0
0;2
20
6;5
5;5
3;13
14;10
9;5
9;13
14;8
13;13
13;5
2;3
12;14
5;7
0;3
7;10
5;6
2;14
5;2
8;0
4;2
13;7
5;6
20
14;0
2;5
6;6
5;12
3;1
2;1
5;14
5;0
2;9
0;8
10;8
1;12
5;6
3;2
7;12
11;6
0;14
11;0
10;0
14;14
1;3
20
12;6
3;12
1;4
10;9
11;3
5;11
5;7
12;14
6;7
4;11
4;3
11;0
2;14
5;13
14;3
0;10
12;5
8;9
13;8
3;7
8;9
20
0;0
5;0
11;6
5;6
6;10
13;8
5;12
4;8
4;1
3;1
8;13
8;2
5;13
13;2
5;4
7;13
2;0
7;2
12;4
12;10
1;8
20
6;1
1;12
10;8
1;14
14;3
7;4
8;10
7;12
9;14
5;5
2;13
13;10
3;0
8;0
2;3
3;4
2;9
7;13
2;14
1;8
2;3
20
10;5
9;9
0;5
12;12
11;3
11;14
10;6
8;10
1;11
4;8
4;11
2;6
0;3
6;4
6;8
3;14
9;4
12;8
13;5
14;2
1;2
20
13;12
4;11
7;10
11;5
12;2
12;12
5;8
5;13
11;3
11;8
12;6
5;10
6;14
0;11
7;2
12;5
11;14
14;14
3;12
6;6
**************************************************
